RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID,CCY1,COUPN_RATE,DSPLY_NAME,MATUR_DATE,OFFCL_CODE,YTM_ASK,YTM_BID
AMBMBRM-01M,03-Dec-2010,03:00:20,03-Dec-2010,11:00:20,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,03-Dec-2010,06:45:39,03-Dec-2010,14:45:39,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,03-Dec-2010,06:45:39,03-Dec-2010,14:45:39,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,03-Dec-2010,06:45:39,03-Dec-2010,14:45:39,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,03-Dec-2010,06:45:39,03-Dec-2010,14:45:39,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,03-Dec-2010,06:45:39,03-Dec-2010,14:45:39,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,03-Dec-2010,06:45:40,03-Dec-2010,14:45:40,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,03-Dec-2010,06:45:40,03-Dec-2010,14:45:40,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,03-Dec-2010,06:45:40,03-Dec-2010,14:45:40,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,03-Dec-2010,12:17:53,03-Dec-2010,20:17:53,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,03-Dec-2010,13:32:53,03-Dec-2010,21:32:53,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,06-Dec-2010,05:59:02,06-Dec-2010,13:59:02,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,06-Dec-2010,05:59:02,06-Dec-2010,13:59:02,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,06-Dec-2010,05:59:02,06-Dec-2010,13:59:02,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,06-Dec-2010,05:59:02,06-Dec-2010,13:59:02,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,06-Dec-2010,05:59:02,06-Dec-2010,13:59:02,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,06-Dec-2010,05:59:02,06-Dec-2010,13:59:02,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,06-Dec-2010,05:59:02,06-Dec-2010,13:59:02,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,06-Dec-2010,05:59:02,06-Dec-2010,13:59:02,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,06-Dec-2010,11:36:14,06-Dec-2010,19:36:14,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,06-Dec-2010,13:32:49,06-Dec-2010,21:32:49,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,02:15:37,07-Dec-2010,10:15:37,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,02:15:37,07-Dec-2010,10:15:37,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,02:15:37,07-Dec-2010,10:15:37,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,02:15:37,07-Dec-2010,10:15:37,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,02:15:37,07-Dec-2010,10:15:37,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,02:15:37,07-Dec-2010,10:15:37,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,02:15:37,07-Dec-2010,10:15:37,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,02:15:37,07-Dec-2010,10:15:37,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,05:41:49,07-Dec-2010,13:41:49,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,05:41:49,07-Dec-2010,13:41:49,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,05:41:49,07-Dec-2010,13:41:49,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,05:41:49,07-Dec-2010,13:41:49,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,05:41:49,07-Dec-2010,13:41:49,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,05:41:49,07-Dec-2010,13:41:49,2.8,2.85,-,NaN,CNBB 0.00 Jan 11,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,05:41:49,07-Dec-2010,13:41:49,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,07-Dec-2010,05:41:50,07-Dec-2010,13:41:50,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,08-Dec-2010,08:43:11,08-Dec-2010,16:43:11,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,08-Dec-2010,08:43:11,08-Dec-2010,16:43:11,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,08-Dec-2010,08:43:11,08-Dec-2010,16:43:11,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,08-Dec-2010,08:43:12,08-Dec-2010,16:43:12,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,08-Dec-2010,08:43:12,08-Dec-2010,16:43:12,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,08-Dec-2010,08:43:12,08-Dec-2010,16:43:12,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,08-Dec-2010,08:43:12,08-Dec-2010,16:43:12,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,08-Dec-2010,08:43:12,08-Dec-2010,16:43:12,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,08-Dec-2010,13:02:40,08-Dec-2010,21:02:40,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,08-Dec-2010,17:33:00,09-Dec-2010,01:33:00,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,08-Dec-2010,23:55:10,09-Dec-2010,07:55:10,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,09-Dec-2010,02:20:08,09-Dec-2010,10:20:08,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,09-Dec-2010,07:55:08,09-Dec-2010,15:55:08,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,09-Dec-2010,07:55:08,09-Dec-2010,15:55:08,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,09-Dec-2010,07:55:08,09-Dec-2010,15:55:08,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,09-Dec-2010,07:55:08,09-Dec-2010,15:55:08,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,09-Dec-2010,07:55:08,09-Dec-2010,15:55:08,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,09-Dec-2010,07:55:08,09-Dec-2010,15:55:08,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,09-Dec-2010,07:55:08,09-Dec-2010,15:55:08,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,09-Dec-2010,07:55:09,09-Dec-2010,15:55:09,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,10-Dec-2010,03:10:11,10-Dec-2010,11:10:11,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,10-Dec-2010,03:10:11,10-Dec-2010,11:10:11,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,10-Dec-2010,03:28:40,10-Dec-2010,11:28:40,2.8,2.85,-,NaN,CNBB  ,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,10-Dec-2010,03:28:40,10-Dec-2010,11:28:40,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,10-Dec-2010,08:31:23,10-Dec-2010,16:31:23,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,10-Dec-2010,08:31:23,10-Dec-2010,16:31:23,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,10-Dec-2010,08:31:23,10-Dec-2010,16:31:23,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,10-Dec-2010,08:31:23,10-Dec-2010,16:31:23,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,10-Dec-2010,08:31:23,10-Dec-2010,16:31:23,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,10-Dec-2010,08:31:23,10-Dec-2010,16:31:23,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,10-Dec-2010,08:31:23,10-Dec-2010,16:31:23,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,10-Dec-2010,08:31:24,10-Dec-2010,16:31:24,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,13-Dec-2010,02:22:35,13-Dec-2010,10:22:35,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
AMBMBRM-01M,13-Dec-2010,06:03:31,13-Dec-2010,14:03:31,2.8,2.85,-,NaN,CNBB 0.00 14-Jan,0,CND1000034D4,2.8,2.85
