RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID,COUPN_RATE,DSPLY_NAME,MATUR_DATE,OFFCL_CODE,YTM_ASK,YTM_BID
AMBMGRM-01Y,03-Dec-2010,03:00:20,03-Dec-2010,11:00:20,3.1,3.2,2.21,CNSB 2.21 Dec 11,0,CND1000016G4,3.1,3.2
AMBMGRM-01Y,03-Dec-2010,06:45:40,03-Dec-2010,14:45:40,3.1,3.2,2.21,CNSB 2.21 Dec 11,0,CND1000016G4,3.1,3.2
AMBMGRM-01Y,03-Dec-2010,06:45:40,03-Dec-2010,14:45:40,3.1,3.2,2.21,CNSB 2.21 Dec 11,0,CND1000016G4,3.1,3.2
AMBMGRM-01Y,03-Dec-2010,06:45:40,03-Dec-2010,14:45:40,3.1,3.2,2.21,CNSB 2.21 Dec 11,0,CND1000016G4,3.1,3.2
AMBMGRM-01Y,03-Dec-2010,06:45:40,03-Dec-2010,14:45:40,3.1,3.2,2.21,CNSB 2.21 Dec 11,0,CND1000016G4,3.1,3.2
AMBMGRM-01Y,03-Dec-2010,06:45:40,03-Dec-2010,14:45:40,3.1,3.2,2.21,CNSB 2.21 Dec 11,0,CND1000016G4,3.1,3.2
AMBMGRM-01Y,03-Dec-2010,06:45:40,03-Dec-2010,14:45:40,3.1,3.2,2.21,CNSB 2.21 Dec 11,0,CND1000016G4,3.1,3.2
AMBMGRM-01Y,03-Dec-2010,06:45:40,03-Dec-2010,14:45:40,3.1,3.2,2.21,CNSB 2.21 Dec 11,0,CND1000016G4,3.1,3.2
AMBMGRM-01Y,03-Dec-2010,06:45:40,03-Dec-2010,14:45:40,3.1,3.2,2.21,CNSB 2.21 Dec 11,0,CND1000016G4,3.1,3.2
AMBMGRM-01Y,03-Dec-2010,12:17:53,03-Dec-2010,20:17:53,3.1,3.2,2.21,CNSB 2.21 Dec 11,0,CND1000016G4,3.1,3.2
AMBMGRM-01Y,03-Dec-2010,13:32:54,03-Dec-2010,21:32:54,3.1,3.2,2.21,CNSB 2.21 Dec 11,0,CND1000016G4,3.1,3.2
AMBMGRM-01Y,06-Dec-2010,05:59:03,06-Dec-2010,13:59:03,3.1,3.2,2.21,CNSB 2.21 Dec 11,0,CND1000016G4,3.1,3.2
