RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID
AMCCSRMB01YA5Q03L,20-Jan-2010,12:18:18,20-Jan-2010,20:18:18,-0.23,-0.38
AMCCSRMB01YA5Q03L,24-Jan-2010,21:35:12,25-Jan-2010,05:35:12,-0.23,-0.38
AMCCSRMB01YA5Q03L,26-Jan-2010,07:16:06,26-Jan-2010,15:16:06,-0.23,-0.38
AMCCSRMB01YA5Q03L,26-Jan-2010,08:41:30,26-Jan-2010,16:41:30,-0.23,-0.38
AMCCSRMB01YA5Q03L,31-Jan-2010,19:10:18,01-Feb-2010,03:10:18,-0.23,-0.38
AMCCSRMB01YA5Q03L,07-Feb-2010,17:33:50,08-Feb-2010,01:33:50,-0.23,-0.38
AMCCSRMB01YA5Q03L,14-Feb-2010,17:34:29,15-Feb-2010,01:34:29,-0.23,-0.38
AMCCSRMB01YA5Q03L,21-Feb-2010,17:34:43,22-Feb-2010,01:34:43,-0.23,-0.38
AMCCSRMB01YA5Q03L,28-Feb-2010,17:34:46,01-Mar-2010,01:34:46,-0.23,-0.38
AMCCSRMB01YA5Q03L,07-Mar-2010,17:34:59,08-Mar-2010,01:34:59,-0.23,-0.38
AMCCSRMB01YA5Q03L,07-Mar-2010,18:30:27,08-Mar-2010,02:30:27,-0.23,-0.38
AMCCSRMB01YA5Q03L,14-Mar-2010,17:35:14,15-Mar-2010,01:35:14,-0.23,-0.38
AMCCSRMB01YA5Q03L,21-Mar-2010,20:23:42,22-Mar-2010,04:23:42,-0.23,-0.38
AMCCSRMB01YA5Q03L,28-Mar-2010,17:35:15,29-Mar-2010,01:35:15,-0.23,-0.38
AMCCSRMB01YA5Q03L,01-Apr-2010,06:11:17,01-Apr-2010,14:11:17,-0.23,-0.8
AMCCSRMB01YA5Q03L,01-Apr-2010,06:11:23,01-Apr-2010,14:11:23,-0.45,-0.8
AMCCSRMB01YA5Q03L,04-Apr-2010,17:35:28,05-Apr-2010,01:35:28,-0.45,-0.8
AMCCSRMB01YA5Q03L,04-Apr-2010,18:27:20,05-Apr-2010,02:27:20,-0.45,-0.8
AMCCSRMB01YA5Q03L,11-Apr-2010,17:35:27,12-Apr-2010,01:35:27,-0.45,-0.8
AMCCSRMB01YA5Q03L,11-Apr-2010,18:31:57,12-Apr-2010,02:31:57,-0.45,-0.8
AMCCSRMB01YA5Q03L,18-Apr-2010,17:35:28,19-Apr-2010,01:35:28,-0.45,-0.8
AMCCSRMB01YA5Q03L,18-Apr-2010,18:30:54,19-Apr-2010,02:30:54,-0.45,-0.8
AMCCSRMB01YA5Q03L,25-Apr-2010,17:35:36,26-Apr-2010,01:35:36,-0.45,-0.8
AMCCSRMB01YA5Q03L,25-Apr-2010,18:31:18,26-Apr-2010,02:31:18,-0.45,-0.8
AMCCSRMB01YA5Q03L,02-May-2010,18:31:07,03-May-2010,02:31:07,-0.45,-0.8
AMCCSRMB01YA5Q03L,09-May-2010,17:35:05,10-May-2010,01:35:05,-0.45,-0.8
AMCCSRMB01YA5Q03L,16-May-2010,18:31:18,17-May-2010,02:31:18,-0.45,-0.8
AMCCSRMB01YA5Q03L,20-May-2010,03:54:09,20-May-2010,11:54:09,-0.45,-0.3
AMCCSRMB01YA5Q03L,20-May-2010,03:54:13,20-May-2010,11:54:13,-0.5,-0.3
AMCCSRMB01YA5Q03L,20-May-2010,06:14:35,20-May-2010,14:14:35,-0.5,-0.5
AMCCSRMB01YA5Q03L,20-May-2010,06:14:38,20-May-2010,14:14:38,-0.3,-0.5
AMCCSRMB01YA5Q03L,23-May-2010,17:35:46,24-May-2010,01:35:46,-0.3,-0.5
AMCCSRMB01YA5Q03L,28-May-2010,08:12:05,28-May-2010,16:12:05,-0.3,-0.52
AMCCSRMB01YA5Q03L,28-May-2010,08:12:07,28-May-2010,16:12:07,-0.32,-0.52
AMCCSRMB01YA5Q03L,30-May-2010,17:36:47,31-May-2010,01:36:47,-0.32,-0.52
AMCCSRMB01YA5Q03L,30-May-2010,18:33:00,31-May-2010,02:33:00,-0.32,-0.52
AMCCSRMB01YA5Q03L,31-May-2010,03:26:05,31-May-2010,11:26:05,-0.32,-0.5
AMCCSRMB01YA5Q03L,31-May-2010,03:26:07,31-May-2010,11:26:07,-0.35,-0.5
