RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID
AMCPSRMB01YA5Q03L,06-Jul-2012,04:20:51,06-Jul-2012,12:20:51,0.72,0.32
AMCPSRMB01YA5Q03L,08-Jul-2012,16:47:05,09-Jul-2012,00:47:05,0.72,0.32
AMCPSRMB01YA5Q03L,08-Jul-2012,17:12:47,09-Jul-2012,01:12:47,0.72,0.32
AMCPSRMB01YA5Q03L,09-Jul-2012,02:15:00,09-Jul-2012,10:15:00,0.72,0.32
AMCPSRMB01YA5Q03L,09-Jul-2012,09:21:25,09-Jul-2012,17:21:25,0.72,0.32
AMCPSRMB01YA5Q03L,10-Jul-2012,01:47:14,10-Jul-2012,09:47:14,0.72,0.32
AMCPSRMB01YA5Q03L,10-Jul-2012,17:57:19,11-Jul-2012,01:57:19,0.72,0.32
AMCPSRMB01YA5Q03L,11-Jul-2012,11:37:06,11-Jul-2012,19:37:06,0.72,0.32
AMCPSRMB01YA5Q03L,12-Jul-2012,05:15:17,12-Jul-2012,13:15:17,0.72,0.32
AMCPSRMB01YA5Q03L,12-Jul-2012,22:31:03,13-Jul-2012,06:31:03,0.72,0.32
AMCPSRMB01YA5Q03L,13-Jul-2012,15:38:05,13-Jul-2012,23:38:05,0.72,0.32
AMCPSRMB01YA5Q03L,15-Jul-2012,20:11:07,16-Jul-2012,04:11:07,0.72,0.32
AMCPSRMB01YA5Q03L,16-Jul-2012,00:59:06,16-Jul-2012,08:59:06,0.72,0.32
AMCPSRMB01YA5Q03L,16-Jul-2012,01:03:56,16-Jul-2012,09:03:56,0.72,0.32
AMCPSRMB01YA5Q03L,16-Jul-2012,01:56:47,16-Jul-2012,09:56:47,0.72,0.32
AMCPSRMB01YA5Q03L,16-Jul-2012,13:40:51,16-Jul-2012,21:40:51,0.72,0.32
AMCPSRMB01YA5Q03L,17-Jul-2012,07:29:07,17-Jul-2012,15:29:07,0.72,0.32
AMCPSRMB01YA5Q03L,18-Jul-2012,00:59:53,18-Jul-2012,08:59:53,0.72,0.32
AMCPSRMB01YA5Q03L,18-Jul-2012,07:58:33,18-Jul-2012,15:58:33,0.72,0.32
AMCPSRMB01YA5Q03L,18-Jul-2012,18:19:13,19-Jul-2012,02:19:13,0.72,0.32
AMCPSRMB01YA5Q03L,18-Jul-2012,23:25:31,19-Jul-2012,07:25:31,0.72,0.32
AMCPSRMB01YA5Q03L,19-Jul-2012,12:04:44,19-Jul-2012,20:04:44,0.72,0.32
AMCPSRMB01YA5Q03L,20-Jul-2012,05:47:16,20-Jul-2012,13:47:16,0.72,0.32
AMCPSRMB01YA5Q03L,23-Jul-2012,03:48:32,23-Jul-2012,11:48:32,0.72,0.32
AMCPSRMB01YA5Q03L,23-Jul-2012,05:48:55,23-Jul-2012,13:48:55,0.72,0.32
AMCPSRMB01YA5Q03L,23-Jul-2012,05:48:56,23-Jul-2012,13:48:56,0.72,0.32
AMCPSRMB01YA5Q03L,23-Jul-2012,21:10:49,24-Jul-2012,05:10:49,0.72,0.32
AMCPSRMB01YA5Q03L,24-Jul-2012,14:54:46,24-Jul-2012,22:54:46,0.72,0.32
AMCPSRMB01YA5Q03L,25-Jul-2012,08:39:27,25-Jul-2012,16:39:27,0.72,0.32
AMCPSRMB01YA5Q03L,26-Jul-2012,02:19:44,26-Jul-2012,10:19:44,0.72,0.32
AMCPSRMB01YA5Q03L,26-Jul-2012,19:42:07,27-Jul-2012,03:42:07,0.72,0.32
AMCPSRMB01YA5Q03L,27-Jul-2012,13:28:07,27-Jul-2012,21:28:07,0.72,0.32
AMCPSRMB01YA5Q03L,29-Jul-2012,17:50:32,30-Jul-2012,01:50:32,0.72,0.32
AMCPSRMB01YA5Q03L,30-Jul-2012,11:13:58,30-Jul-2012,19:13:58,0.72,0.32
AMCPSRMB01YA5Q03L,31-Jul-2012,04:52:36,31-Jul-2012,12:52:36,0.72,0.32
AMCPSRMB01YA5Q03L,31-Jul-2012,22:14:12,01-Aug-2012,06:14:12,0.72,0.32
AMCPSRMB01YA5Q03L,01-Aug-2012,08:43:18,01-Aug-2012,16:43:18,0.72,0.32
AMCPSRMB01YA5Q03L,01-Aug-2012,08:43:20,01-Aug-2012,16:43:20,0.72,0.32
AMCPSRMB01YA5Q03L,01-Aug-2012,08:44:35,01-Aug-2012,16:44:35,0.72,0.32
AMCPSRMB01YA5Q03L,01-Aug-2012,08:44:39,01-Aug-2012,16:44:39,0.72,0.32
AMCPSRMB01YA5Q03L,01-Aug-2012,08:44:40,01-Aug-2012,16:44:40,0.72,0.32
AMCPSRMB01YA5Q03L,01-Aug-2012,08:45:51,01-Aug-2012,16:45:51,0.72,0.32
AMCPSRMB01YA5Q03L,01-Aug-2012,08:45:52,01-Aug-2012,16:45:52,0.72,0.32
AMCPSRMB01YA5Q03L,01-Aug-2012,08:45:53,01-Aug-2012,16:45:53,0.72,0.32
AMCPSRMB01YA5Q03L,01-Aug-2012,08:49:49,01-Aug-2012,16:49:49,0.72,0.32
AMCPSRMB01YA5Q03L,01-Aug-2012,08:49:50,01-Aug-2012,16:49:50,0.72,0.32
AMCPSRMB01YA5Q03L,01-Aug-2012,08:49:51,01-Aug-2012,16:49:51,0.72,0.32
AMCPSRMB01YA5Q03L,01-Aug-2012,16:03:06,02-Aug-2012,00:03:06,0.72,0.32
AMCPSRMB01YA5Q03L,02-Aug-2012,09:48:11,02-Aug-2012,17:48:11,0.72,0.32
AMCPSRMB01YA5Q03L,02-Aug-2012,18:01:02,03-Aug-2012,02:01:02,0.72,0.32
AMCPSRMB01YA5Q03L,03-Aug-2012,03:26:10,03-Aug-2012,11:26:10,0.72,0.32
AMCPSRMB01YA5Q03L,03-Aug-2012,20:47:44,04-Aug-2012,04:47:44,0.72,0.32
AMCPSRMB01YA5Q03L,07-Aug-2012,10:28:17,07-Aug-2012,18:28:17,0.72,0.32
AMCPSRMB01YA5Q03L,07-Aug-2012,10:28:18,07-Aug-2012,18:28:18,0.72,0.32
AMCPSRMB01YA5Q03L,07-Aug-2012,10:28:23,07-Aug-2012,18:28:23,0.72,0.32
AMCPSRMB01YA5Q03L,07-Aug-2012,10:29:37,07-Aug-2012,18:29:37,0.72,0.32
AMCPSRMB01YA5Q03L,07-Aug-2012,10:29:38,07-Aug-2012,18:29:38,0.72,0.32
AMCPSRMB01YA5Q03L,07-Aug-2012,10:29:39,07-Aug-2012,18:29:39,0.72,0.32
AMCPSRMB01YA5Q03L,08-Aug-2012,03:49:30,08-Aug-2012,11:49:30,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,13:55:02,09-Aug-2012,21:55:02,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:09:24,09-Aug-2012,23:09:24,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:11:49,09-Aug-2012,23:11:49,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:13:58,09-Aug-2012,23:13:58,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:16:14,09-Aug-2012,23:16:14,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:18:25,09-Aug-2012,23:18:25,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:22:57,09-Aug-2012,23:22:57,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:27:00,09-Aug-2012,23:27:00,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:29:12,09-Aug-2012,23:29:12,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:31:28,09-Aug-2012,23:31:28,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:33:44,09-Aug-2012,23:33:44,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:35:58,09-Aug-2012,23:35:58,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:38:13,09-Aug-2012,23:38:13,0.72,0.32
AMCPSRMB01YA5Q03L,09-Aug-2012,15:40:25,09-Aug-2012,23:40:25,0.72,0.32
