RIC NAME,GMT DATE, GMT TIME ,Asia/Shanghai DATE ,Asia/Shanghai TIME ,ASK,BID
AMFRARMB01M04M,22-Sep-2008,08:49:26,22-Sep-2008,16:49:26,4.3,4.2
AMFRARMB01M04M,28-Sep-2008,12:42:15,28-Sep-2008,20:42:15,4.3,4.2
AMFRARMB01M04M,16-Oct-2008,21:35:44,17-Oct-2008,05:35:44,4.3,4.2
AMFRARMB01M04M,19-Oct-2008,16:17:34,20-Oct-2008,00:17:34,4.3,4.2
AMFRARMB01M04M,19-Oct-2008,18:02:25,20-Oct-2008,02:02:25,4.3,4.2
AMFRARMB01M04M,20-Oct-2008,23:16:08,21-Oct-2008,07:16:08,4.3,4.2
AMFRARMB01M04M,26-Oct-2008,16:07:38,27-Oct-2008,00:07:38,4.3,4.2
AMFRARMB01M04M,02-Nov-2008,16:16:50,03-Nov-2008,00:16:50,4.3,4.2
AMFRARMB01M04M,09-Nov-2008,16:16:31,10-Nov-2008,00:16:31,3.95,3.75
AMFRARMB01M04M,11-Nov-2008,23:00:08,12-Nov-2008,07:00:08,3.95,3.75
AMFRARMB01M04M,16-Nov-2008,12:55:16,16-Nov-2008,20:55:16,3.95,3.75
AMFRARMB01M04M,16-Nov-2008,18:54:07,17-Nov-2008,02:54:07,3.95,3.75
AMFRARMB01M04M,19-Nov-2008,23:21:38,20-Nov-2008,07:21:38,3.95,3.75
AMFRARMB01M04M,23-Nov-2008,20:33:44,24-Nov-2008,04:33:44,3.95,3.75
AMFRARMB01M04M,24-Nov-2008,07:07:51,24-Nov-2008,15:07:51,3.2,3.0
AMFRARMB01M04M,07-Dec-2008,18:17:40,08-Dec-2008,02:17:40,3.2,3.0
AMFRARMB01M04M,13-Dec-2008,10:42:34,13-Dec-2008,18:42:34,3.2,3.0
AMFRARMB01M04M,14-Dec-2008,17:04:45,15-Dec-2008,01:04:45,3.2,3.0
AMFRARMB01M04M,07-Sep-2010,07:28:07,07-Sep-2010,15:28:07,2.65,2.45
AMFRARMB01M04M,12-Sep-2010,18:24:39,13-Sep-2010,02:24:39,2.65,2.45
AMFRARMB01M04M,12-Sep-2010,19:20:56,13-Sep-2010,03:20:56,2.65,2.45
AMFRARMB01M04M,19-Sep-2010,18:20:22,20-Sep-2010,02:20:22,2.65,2.45
AMFRARMB01M04M,26-Sep-2010,18:22:58,27-Sep-2010,02:22:58,2.65,2.45
AMFRARMB01M04M,06-Oct-2010,08:52:25,06-Oct-2010,16:52:25,2.65,2.45
AMFRARMB01M04M,08-Oct-2010,00:15:33,08-Oct-2010,08:15:33,2.65,2.45
AMFRARMB01M04M,08-Oct-2010,04:54:15,08-Oct-2010,12:54:15,2.65,2.45
AMFRARMB01M04M,08-Oct-2010,10:26:31,08-Oct-2010,18:26:31,2.65,2.45
AMFRARMB01M04M,13-Oct-2010,02:55:46,13-Oct-2010,10:55:46,2.65,2.45
AMFRARMB01M04M,13-Oct-2010,09:30:01,13-Oct-2010,17:30:01,2.65,2.45
AMFRARMB01M04M,13-Oct-2010,17:28:26,14-Oct-2010,01:28:26,2.65,2.45
